,results
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5442F71BF21B01C0E0530A8394270308', 'geometry': {'points': [[611612.9968018684, 267062.0025253558]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611612.9968018684, 267062.0025253558, 611612.9968018684, 267062.0025253558], 'attributes': {'accidentday_fr': 'mercredi / 08h-09h / mai 2017', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 08h-09h / Mai 2017', 'accidentday_it': 'Mercoledì / 08h-09h / Maggio 2017', 'accidentyear': 2017, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5442F71BF21B01C0E0530A8394270308'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '4A4A010CCBAC0084E0530A839427BFF6', 'geometry': {'points': [[611651.9965511865, 267077.002389638]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611651.9965511865, 267077.002389638, 611651.9965511865, 267077.002389638], 'attributes': {'accidentday_fr': 'jeudi / 14h-15h / février 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 14h-15h / Februar 2017', 'accidentday_it': 'Giovedì / 14h-15h / Febbraio 2017', 'accidentyear': 2017, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '4A4A010CCBAC0084E0530A839427BFF6'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '4AC32646450A0060E0530A83942795C5', 'geometry': {'points': [[611774.995647698, 267192.00135088136]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611774.995647698, 267192.00135088136, 611774.995647698, 267192.00135088136], 'attributes': {'accidentday_fr': 'jeudi / 17h-18h / février 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 17h-18h / Februar 2017', 'accidentday_it': 'Giovedì / 17h-18h / Febbraio 2017', 'accidentyear': 2017, 'label': 'Auffahrunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 2, 'accidenttype_fr': 'accident par tamponnement', 'accidenttype_de': 'Auffahrunfall', 'accidenttype_it': 'Incidente di tamponamento', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '4AC32646450A0060E0530A83942795C5'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '45A902669A8D00C8E0530A8394275E62', 'geometry': {'points': [[611646.9965663569, 267076.0024366823]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611646.9965663569, 267076.0024366823, 611646.9965663569, 267076.0024366823], 'attributes': {'accidentday_fr': 'mercredi / 13h-14h / novembre 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 13h-14h / November 2016', 'accidentday_it': 'Mercoledì / 13h-14h / Novembre 2016', 'accidentyear': 2016, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '45A902669A8D00C8E0530A8394275E62'}"
6,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3BFA780F9E700176E0530A83942780C5', 'geometry': {'points': [[611759.9960347037, 267130.001404532]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611759.9960347037, 267130.001404532, 611759.9960347037, 267130.001404532], 'attributes': {'accidentday_fr': 'jeudi / 08h-09h / septembre 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 08h-09h / September 2016', 'accidentday_it': 'Giovedì / 08h-09h / Settembre 2016', 'accidentyear': 2016, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3BFA780F9E700176E0530A83942780C5'}"
7,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3AB9864F77440160E0530A839427B86E', 'geometry': {'points': [[611821.9981561729, 266752.0002503627]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611821.9981561729, 266752.0002503627, 611821.9981561729, 266752.0002503627], 'attributes': {'accidentday_fr': 'lundi / 17h-18h / août 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 17h-18h / August 2016', 'accidentday_it': 'Lunedí / 17h-18h / Agosto 2016', 'accidentyear': 2016, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3AB9864F77440160E0530A839427B86E'}"
8,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3A5547A0C7E20118E0530A839427F6DC', 'geometry': {'points': [[611990.997915746, 267087.0005245587]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611990.997915746, 267087.0005245587, 611990.997915746, 267087.0005245587], 'attributes': {'accidentday_fr': 'vendredi / 23h-00h / août 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 23h-00h / August 2016', 'accidentday_it': 'Venerdì / 23h-00h / Agosto 2016', 'accidentyear': 2016, 'label': 'Frontalkollision', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 6, 'accidenttype_fr': 'collision frontale', 'accidenttype_de': 'Frontalkollision', 'accidenttype_it': 'Collisione frontale', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3A5547A0C7E20118E0530A839427F6DC'}"
9,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '393B93F78B6501B0E0530A839427C0B7', 'geometry': {'points': [[612072.9995005548, 267119.0009629945]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612072.9995005548, 267119.0009629945, 612072.9995005548, 267119.0009629945], 'attributes': {'accidentday_fr': 'dimanche / 13h-14h / juillet 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Sonntag / 13h-14h / Juli 2016', 'accidentday_it': 'Domenica / 13h-14h / Luglio 2016', 'accidentyear': 2016, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '393B93F78B6501B0E0530A839427C0B7'}"
10,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '38208876B1AD0152E0530A839427CFAC', 'geometry': {'points': [[611880.9978271723, 266796.9999715496]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611880.9978271723, 266796.9999715496, 611880.9978271723, 266796.9999715496], 'attributes': {'accidentday_fr': 'samedi / 01h-02h / juin 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Samstag / 01h-02h / Juni 2016', 'accidentday_it': 'Sabato / 01h-02h / Giugno 2016', 'accidentyear': 2016, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '38208876B1AD0152E0530A839427CFAC'}"
11,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '294640ABF2FF01D0E0530A8394275DAE', 'geometry': {'points': [[611603.9981083169, 266798.0015519175]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611603.9981083169, 266798.0015519175, 611603.9981083169, 266798.0015519175], 'attributes': {'accidentday_fr': 'mercredi / 19h-20h / janvier 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 19h-20h / Januar 2016', 'accidentday_it': 'Mercoledì / 19h-20h / Gennaio 2016', 'accidentyear': 2016, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '294640ABF2FF01D0E0530A8394275DAE'}"
12,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '276BB6A17E190020E0530A839427D8E1', 'geometry': {'points': [[611816.9974594115, 266870.0004318196]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611816.9974594115, 266870.0004318196, 611816.9974594115, 266870.0004318196], 'attributes': {'accidentday_fr': 'vendredi / 15h-16h / décembre 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 15h-16h / Dezember 2015', 'accidentday_it': 'Venerdì / 15h-16h / Dicembre 2015', 'accidentyear': 2015, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '276BB6A17E190020E0530A839427D8E1'}"
13,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '24333D929FE30000E0530A839427FE28', 'geometry': {'points': [[611799.9980520469, 266773.00039309927]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611799.9980520469, 266773.00039309927, 611799.9980520469, 266773.00039309927], 'attributes': {'accidentday_fr': 'vendredi / 08h-09h / octobre 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 08h-09h / Oktober 2015', 'accidentday_it': 'Venerdì / 08h-09h / Ottobre 2015', 'accidentyear': 2015, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '24333D929FE30000E0530A839427FE28'}"
14,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '22EA9FD524BA0180E0530A839427D610', 'geometry': {'points': [[611749.9961304583, 267117.00148413907]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611749.9961304583, 267117.00148413907, 611749.9961304583, 267117.00148413907], 'attributes': {'accidentday_fr': 'dimanche / 19h-20h / octobre 2015', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Sonntag / 19h-20h / Oktober 2015', 'accidentday_it': 'Domenica / 19h-20h / Ottobre 2015', 'accidentyear': 2015, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '22EA9FD524BA0180E0530A839427D610'}"
15,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '1FEC7D3E83E5005EE0530A839427449E', 'geometry': {'points': [[611653.9965364505, 267079.0023770874]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611653.9965364505, 267079.0023770874, 611653.9965364505, 267079.0023770874], 'attributes': {'accidentday_fr': 'lundi / 17h-18h / août 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 17h-18h / August 2015', 'accidentday_it': 'Lunedí / 17h-18h / Agosto 2015', 'accidentyear': 2015, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '1FEC7D3E83E5005EE0530A839427449E'}"
16,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '1F66DB54625400C0E0530A839427B30A', 'geometry': {'points': [[611736.9962201156, 267106.0015966876]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611736.9962201156, 267106.0015966876, 611736.9962201156, 267106.0015966876], 'attributes': {'accidentday_fr': 'samedi / 10h-11h / août 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Samstag / 10h-11h / August 2015', 'accidentday_it': 'Sabato / 10h-11h / Agosto 2015', 'accidentyear': 2015, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '1F66DB54625400C0E0530A839427B30A'}"
17,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '1C67E2F2D34D014CE0530A8394271F0F', 'geometry': {'points': [[611757.9981840883, 266757.0005790291]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611757.9981840883, 266757.0005790291, 611757.9981840883, 266757.0005790291], 'attributes': {'accidentday_fr': 'dimanche / 18h-19h / juillet 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 18h-19h / Juli 2015', 'accidentday_it': 'Domenica / 18h-19h / Luglio 2015', 'accidentyear': 2015, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '1C67E2F2D34D014CE0530A8394271F0F'}"
18,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '1734D64A6DE90114E0530A839427DC05', 'geometry': {'points': [[611784.9956717558, 267183.0012244591]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611784.9956717558, 267183.0012244591, 611784.9956717558, 267183.0012244591], 'attributes': {'accidentday_fr': 'lundi / 17h-18h / mai 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 17h-18h / Mai 2015', 'accidentday_it': 'Lunedí / 17h-18h / Maggio 2015', 'accidentyear': 2015, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '1734D64A6DE90114E0530A839427DC05'}"
19,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '170EFAA17A4000E6E0530A839427BE1B', 'geometry': {'points': [[611590.9969249365, 267038.0027149726]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611590.9969249365, 267038.0027149726, 611590.9969249365, 267038.0027149726], 'attributes': {'accidentday_fr': 'jeudi / 12h-13h / avril 2015', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Donnerstag / 12h-13h / April 2015', 'accidentday_it': 'Giovedì / 12h-13h / Aprile 2015', 'accidentyear': 2015, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '170EFAA17A4000E6E0530A839427BE1B'}"
20,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '047172E812AD0048E0530A839427AF6B', 'geometry': {'points': [[611689.9974940731, 266893.0013815128]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611689.9974940731, 266893.0013815128, 611689.9974940731, 266893.0013815128], 'attributes': {'accidentday_fr': 'mardi / 13h-14h / septembre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 13h-14h / September 2014', 'accidentday_it': 'Martedì / 13h-14h / Settembre 2014', 'accidentyear': 2014, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '047172E812AD0048E0530A839427AF6B'}"
21,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '045F114B3DFC0118E0530A839427D3DC', 'geometry': {'points': [[611723.996207268, 267113.0017552342]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611723.996207268, 267113.0017552342, 611723.996207268, 267113.0017552342], 'attributes': {'accidentday_fr': 'lundi / 08h-09h / septembre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 08h-09h / September 2014', 'accidentday_it': 'Lunedí / 08h-09h / Settembre 2014', 'accidentyear': 2014, 'label': 'Fussgängerunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 8, 'accidenttype_fr': 'accident impliquant des piétons', 'accidenttype_de': 'Fussgängerunfall', 'accidenttype_it': 'Incidente con pedoni', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '045F114B3DFC0118E0530A839427D3DC'}"
22,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '070809CCE76B0150E0530A8394275298', 'geometry': {'points': [[611750.9960595918, 267129.0015017714]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611750.9960595918, 267129.0015017714, 611750.9960595918, 267129.0015017714], 'attributes': {'accidentday_fr': 'vendredi / 17h-18h / septembre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 17h-18h / September 2014', 'accidentday_it': 'Venerdì / 17h-18h / Settembre 2014', 'accidentyear': 2014, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '070809CCE76B0150E0530A8394275298'}"
23,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'E2A6B28C5B6202CCE0430A839427985C', 'geometry': {'points': [[611654.9965290737, 267080.00237076345]], 'spatialReference': {'wkid': 21781}}, 'bbox': [611654.9965290737, 267080.00237076345, 611654.9965290737, 267080.00237076345], 'attributes': {'accidentday_fr': 'vendredi / 12h-13h / juillet 2013', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 12h-13h / Juli 2013', 'accidentday_it': 'Venerdì / 12h-13h / Luglio 2013', 'accidentyear': 2013, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'E2A6B28C5B6202CCE0430A839427985C'}"
